pos,signal,snr,fspl,label
414,-102,-9.800000191,-109.4187788,1
415,-121,-12.19999981,-108.3840116,1
416,-120,-16,-105.6736145,1
417,-123,-11.19999981,-101.6171155,1
418,-123,-14.19999981,-101.6171155,1
419,-121,-14,-101.6171155,1
420,-104,-15.80000019,-110.6298711,1
421,-121,-12.80000019,-101.6171155,1
422,-123,-15.5,-101.6171155,1
423,-48,10.80000019,-85.54338954,1
424,-121,-9.199999809,-103.3821079,1
425,-123,-12.5,-108.3840116,1
426,-98,-13,-134.1777895,1
427,-111,-10.80000019,-101.6171155,1
428,-45,15,-85.54338954,1
429,-118,-10.19999981,-105.6736145,1
430,-99,-15.5,-134.1777895,1
431,-104,-6.5,-109.4187788,1
432,-46,9.5,-85.54338954,1
433,-120,-14.5,-105.6736145,1
434,-103,-7.199999809,-109.4187788,1
435,-121,-9.800000191,-108.3840116,1
436,-44,14.19999981,-85.54338954,1
437,-123,-9,-103.3821079,1
438,-120,-12,-105.6736145,1
439,-123,-11,-108.3840116,1
440,-103,-7.5,-109.4187788,1
441,-123,-9.5,-108.3840116,1
442,-119,-17,-105.6736145,1
443,-46,15.5,-85.54338954,1
444,-103,-1.5,-109.4187788,1
445,-102,-10.80000019,-102.0918051,1
446,-105,-5.800000191,-99.97765064,1
447,-114,-0.8000000119,-103.8772242,1
448,-111,5.800000191,-103.8772242,1
449,-120,-6.5,-101.7656269,1
450,-115,-13,-103.5637284,1
451,-103,-10,-99.97765064,1
452,-102,-8.800000191,-102.0918051,1
453,-117,2.5,-103.8772242,1
454,-104,-13.80000019,-102.0918051,1
455,-121,-5.5,-101.7656269,1
456,-102,-9.199999809,-99.97765064,1
457,-117,-8.800000191,-102.0918051,1
458,-106,-7.199999809,-99.97765064,1
459,-120,-5,-101.7656269,1
460,-118,-11.80000019,-103.5637284,1
461,-103,-7,-102.0918051,1
462,-117,-10.19999981,-103.1028181,1
463,-119,-11.19999981,-102.0918051,1
464,-105,-7.5,-99.97765064,1
465,-105,-7.5,-99.97765064,1
466,-117,-7.5,-102.0918051,1
467,-111,4.199999809,-103.8772242,1
468,-104,-9.800000191,-102.0918051,1
469,-117,-11,-102.0918051,1
470,-117,0.200000003,-103.8772242,1
471,-105,-7.800000191,-99.97765064,1
472,-115,-14.5,-103.5637284,1
473,-117,3.799999952,-103.8772242,1
474,-120,-14,-101.7656269,1
475,-121,-12,-101.7656269,1
476,-103,-12,-102.0918051,1
477,-105,-7.5,-99.97765064,1
478,-118,-12,-103.8772242,1
479,-114,-10.80000019,-102.0918051,1
480,-103,-7,-102.0918051,1
